post_id,title,post_date,link,attachment_filename,attachment_url,review_reason
104,Power in Weakness | One Verse Blog - Day 1,2017-10-10 21:02:00,/blogfeed/2017/10/10/power-in-weakness-one-verse-blog-day-1,blog_black,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313266064-Q0EALE4DPFJFCNX2HLRW/Blog_black.jpg,Generic image (blog_black)
157,Goodbye Old Me,2018-10-02 18:18:00,/blogfeed/2018/10/2/goodbye-old-me,blog_white,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313254887-X4SBRFODGCRPJ7MQPQ55/Blog_white.jpg,Generic image (blog_white)
160,Conflict,2018-10-31 00:42:00,/blogfeed/2018/10/30/conflict,blog_red,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313174114-FUHOO0FTFSJBNSEAU3WH/Blog_red.jpg,Generic image (blog_red)
162,Take a Look Inside,2018-10-08 18:16:00,/blogfeed/2018/10/8/take-a-look-inside,blog_red,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313900251-HHMIGYRMZ4C6QM5IRPPB/Blog_red.jpg,Generic image (blog_red)
164,Food is My Love Language,2018-11-14 01:40:00,/blogfeed/2018/11/13/food-is-my-love-language,blog_white,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312627865-E44RE6VWQJHMNPOQLKFE/Blog_white.jpg,Generic image (blog_white)
166,Attitude of Gratitude,2018-11-20 01:39:00,/blogfeed/2018/11/19/attitude-of-gratitude,blog_red,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312615236-0TENAAUMRWRHUSV61YH1/Blog_red.jpg,Generic image (blog_red)
168,Gratitude: The Pursuit,2018-11-27 01:25:00,/blogfeed/2018/11/26/gratitude-the-pursuit,blog_black,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312604329-H5XT308DNLULPRDLXWKJ/Blog_black.jpg,Generic image (blog_black)
170,Discouragement & Hope,2018-11-06 01:41:00,/blogfeed/2018/11/5/discouragement-amp-hope,blog_black,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313143107-TSE7IG4UAAMKLX8UDP4D/Blog_black.jpg,Generic image (blog_black)
172,15 Minutes to Flee,2018-12-10 17:07:00,/blogfeed/2018/12/19/15-minutes-to-flee,blog_red,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312584764-4M2CGGHMQ5HATS4T5PNJ/Blog_red.jpg,Generic image (blog_red)
174,Presence Over Presents,2018-12-17 17:00:00,/blogfeed/2018/12/19/presence-over-presents,blog_black,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312506609-9X2Z9PQYMXNONY669BYC/Blog_black.jpg,Generic image (blog_black)
176,Light of the World,2018-12-25 19:01:00,/blogfeed/2018/12/25/light-of-the-world,blog_white,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312497236-1AFRK9TCEFKDWNCR8SFS/Blog_white.jpg,Generic image (blog_white)
178,Rejoice,2018-12-04 01:22:00,/blogfeed/2018/12/3/rejoice,blog_white,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312595319-VVJDX5V1OHZQKCZE9JB3/Blog_white.jpg,Generic image (blog_white)
180,A Desire for More,2018-02-15 16:18:00,/blogfeed/2018/2/15/a-desire-for-more,blog_black,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312471242-LY7EFJRLIY5H1AVAOGC1/Blog_black.jpg,Generic image (blog_black)
213,Breakthrough to Freedom,2019-01-22 16:05:00,/blogfeed/2019/1/22/breakthrough-to-freedom,breakthrough_social2,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311676057-D7HLNAQV6ZF5U7P6PQU6/Breakthrough_Social2.jpg,No match - likely stock photo
215,Gaining Financial Peace,2018-08-20 18:24:00,/blogfeed/2019/1/24/gaining-financial-peace,blog_red,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312486273-XZ3ANVR7K9X19EDY91I5/Blog_red.jpg,Generic image (blog_red)
218,Pray First,2019-01-31 16:47:00,/blogfeed/2019/1/31/pray-first,blog_white,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311494553-7HPK6ZNNPXTJJP945N8N/Blog_white.jpg,Generic image (blog_white)
220,Peace Be With You,2019-10-01 12:00:00,/blogfeed/2019/10/1/peace-be-with-you,blog_10.1.19,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1568641046362-WX0YTFDGAVE13R2OO286/blog_10.1.19.jpg,Generic image (blog)
